,Company,Date,Open,High,Low,Close,Adj Close,Volume
217,SUNCLAYLTD.NS,2020-05-13,1390.800049,1433.900024,1380.650024,1432.699951,1432.699951,1541
218,SUNCLAYLTD.NS,2020-05-14,1390.449951,1417.949951,1390.050049,1410.349976,1410.349976,415
219,SUNCLAYLTD.NS,2020-05-15,1429.5,1433.5,1350.0,1371.949951,1371.949951,1139
220,SUNDARMFIN.NS,2020-05-04,1233.0,1291.099976,1218.150024,1251.400024,1251.400024,28219
221,SUNDARMFIN.NS,2020-05-05,1251.400024,1271.349976,1229.0,1229.900024,1229.900024,21591
222,SUNDARMFIN.NS,2020-05-06,1248.900024,1276.699951,1225.849976,1230.849976,1230.849976,47838
223,SUNDARMFIN.NS,2020-05-07,1235.449951,1253.949951,1207.300049,1221.599976,1221.599976,69160
224,SUNDARMFIN.NS,2020-05-08,1239.949951,1252.150024,1230.300049,1241.800049,1241.800049,30909
225,SUNDARMFIN.NS,2020-05-11,1230.0,1249.800049,1201.5,1219.849976,1219.849976,119264
226,SUNDARMFIN.NS,2020-05-12,1203.050049,1221.199951,1182.0,1215.25,1215.25,496518
227,SUNDARMFIN.NS,2020-05-13,1235.0,1249.949951,1194.949951,1204.099976,1204.099976,214984
228,SUNDARMFIN.NS,2020-05-14,1209.0,1223.699951,1195.300049,1204.0,1204.0,100151
229,SUNDARMFIN.NS,2020-05-15,1224.0,1224.0,1195.300049,1203.650024,1203.650024,35581
230,SUNDRMFAST.NS,2020-05-04,320.0,320.0,295.5,297.0,297.0,182360
231,SUNDRMFAST.NS,2020-05-05,302.899994,306.0,290.049988,298.549988,298.549988,106444
232,SUNDRMFAST.NS,2020-05-06,302.799988,317.350006,291.0,306.25,306.25,111933
233,SUNDRMFAST.NS,2020-05-07,311.0,319.0,310.0,316.299988,316.299988,120053
234,SUNDRMFAST.NS,2020-05-08,318.0,321.799988,308.700012,312.049988,312.049988,52988
235,SUNDRMFAST.NS,2020-05-11,313.0,316.950012,302.0,304.049988,304.049988,54106
236,SUNDRMFAST.NS,2020-05-12,302.049988,306.75,293.5,295.75,295.75,46021
237,SUNDRMFAST.NS,2020-05-13,305.0,314.0,301.649994,307.799988,307.799988,75976
238,SUNDRMFAST.NS,2020-05-14,302.049988,307.649994,292.0,292.850006,292.850006,93344
239,SUNDRMFAST.NS,2020-05-15,292.850006,299.0,291.100006,297.700012,297.700012,37784
240,SUNTECK.NS,2020-05-04,203.800003,203.800003,183.5,185.350006,185.350006,321819
241,SUNTECK.NS,2020-05-05,186.5,188.899994,178.350006,179.649994,179.649994,165152
242,SUNTECK.NS,2020-05-06,180.0,185.0,168.100006,169.800003,169.800003,211893
243,SUNTECK.NS,2020-05-07,166.5,170.0,158.800003,160.649994,160.649994,416737
244,SUNTECK.NS,2020-05-08,161.100006,166.0,152.100006,154.149994,154.149994,406496
245,SUNTECK.NS,2020-05-11,158.0,166.0,153.550003,162.300003,162.300003,294881
246,SUNTECK.NS,2020-05-12,158.75,168.0,156.0,165.600006,165.600006,247262
247,SUNTECK.NS,2020-05-13,174.899994,177.0,167.0,172.350006,172.350006,300348
248,SUNTECK.NS,2020-05-14,169.899994,172.25,162.0,165.050003,165.050003,202913
249,SUNTECK.NS,2020-05-15,166.050003,176.0,161.5,164.25,164.25,300059
250,SUPRAJIT.NS,2020-05-04,122.0,122.0,114.599998,115.099998,115.099998,94578
251,SUPRAJIT.NS,2020-05-05,115.900002,117.449997,114.449997,114.949997,114.949997,37774
252,SUPRAJIT.NS,2020-05-06,114.199997,115.25,112.199997,114.349998,114.349998,90222
253,SUPRAJIT.NS,2020-05-07,114.099998,114.5,112.650002,113.099998,113.099998,34562
254,SUPRAJIT.NS,2020-05-08,113.900002,115.0,112.0,112.349998,112.349998,29390
255,SUPRAJIT.NS,2020-05-11,112.349998,114.449997,111.300003,113.449997,113.449997,73345
256,SUPRAJIT.NS,2020-05-12,113.0,115.599998,111.300003,114.800003,114.800003,40773
257,SUPRAJIT.NS,2020-05-13,118.0,121.0,115.550003,120.050003,120.050003,204327
258,SUPRAJIT.NS,2020-05-14,119.900002,120.300003,115.199997,116.050003,116.050003,43675
259,SUPRAJIT.NS,2020-05-15,118.0,118.0,114.25,115.199997,115.199997,66155
260,SUPREMEIND.NS,2020-05-04,1060.0,1079.75,964.0,990.75,990.75,127056
261,SUPREMEIND.NS,2020-05-05,989.75,1007.9500119999999,972.650024,995.2000119999999,995.2000119999999,253223
262,SUPREMEIND.NS,2020-05-06,1008.7999880000001,1008.7999880000001,980.0,985.25,985.25,22087
263,SUPREMEIND.NS,2020-05-07,990.0,1020.75,986.099976,1002.849976,1002.849976,28285
264,SUPREMEIND.NS,2020-05-08,1009.75,1018.2000119999999,960.0,978.099976,978.099976,15089
265,SUPREMEIND.NS,2020-05-11,1000.900024,1000.900024,966.2999880000001,973.5,973.5,34110
266,SUPREMEIND.NS,2020-05-12,966.5,970.0,915.0499880000001,931.7000119999999,931.7000119999999,90971
267,SUPREMEIND.NS,2020-05-13,969.900024,979.849976,921.75,931.9500119999999,931.9500119999999,46942
268,SUPREMEIND.NS,2020-05-14,930.0,935.9500119999999,900.0,900.849976,900.849976,80794
269,SUPREMEIND.NS,2020-05-15,916.0,916.900024,892.0,909.25,909.25,34721
270,SUZLON.NS,2020-05-04,2.55,2.6,2.5,2.5,2.5,8917716
271,SUZLON.NS,2020-05-05,2.55,2.55,2.45,2.45,2.45,5304003
272,SUZLON.NS,2020-05-06,2.45,2.5,2.35,2.35,2.35,9542175
273,SUZLON.NS,2020-05-07,2.35,2.45,2.3,2.45,2.45,7140587
274,SUZLON.NS,2020-05-08,2.55,2.55,2.55,2.55,2.55,1924408
275,SUZLON.NS,2020-05-11,2.65,2.65,2.45,2.6,2.6,22506648
276,SUZLON.NS,2020-05-12,2.6,2.65,2.5,2.55,2.55,5248114
277,SUZLON.NS,2020-05-13,2.6,2.6,2.55,2.6,2.6,5240820
278,SUZLON.NS,2020-05-14,2.6,2.65,2.55,2.65,2.65,6085409
279,SUZLON.NS,2020-05-15,2.65,2.65,2.55,2.6,2.6,7368729
280,SWANENERGY.NS,2020-05-04,99.949997,113.400002,99.949997,103.550003,103.550003,213120
281,SWANENERGY.NS,2020-05-05,106.800003,108.75,101.75,103.300003,103.300003,151596
282,SWANENERGY.NS,2020-05-06,103.0,105.900002,100.400002,101.900002,101.900002,117091
