Company Name,Industry,Change in 1 Year
Karnataka Bank Ltd,FINANCIAL SERVICES,-61.57
Karur Vysya Bank Ltd,FINANCIAL SERVICES,-62.21
Kaveri Seed Company Ltd,CONSUMER GOODS,-16.56
Kec International Ltd,CONSTRUCTION,-31.76
KEI Industries Ltd,INDUSTRIAL MANUFACTURING,-28.79
KNR Constructions Ltd,CONSTRUCTION,-12.33
Kolte-Patil Developers Ltd,CONSTRUCTION,-26.77
Kotak Mahindra Bank Ltd,FINANCIAL SERVICES,-2.12
KPIT Technologies Ltd,IT,-22.17
KRBL Ltd,CONSUMER GOODS,-42.31
LandT Finance Holdings Ltd,FINANCIAL SERVICES,-49.96
LandT Technology Services Ltd,IT,-28.9
Lakshmi Machine Works Ltd,INDUSTRIAL MANUFACTURING,-57.67
Larsen and Toubro Infotech Ltd,IT,-7.22
Larsen and Toubro Ltd,CONSTRUCTION,-33.44
Laurus Labs Ltd,PHARMA,34.06
Lemon Tree Hotels Ltd,SERVICES,-76.53
LIC Housing Finance Ltd,FINANCIAL SERVICES,-42.98
Linde India Ltd,CHEMICALS,13.33
Lupin Ltd,PHARMA,-4.21
Lux Industries Ltd,TEXTILES & PAPER,-28.91
Magma Fincorp Ltd,FINANCIAL SERVICES,-51.08
Mahanagar Gas Ltd,OIL & GAS,-53.11
Maharashtra Scooters Ltd,AUTOMOBILE,-38.7
Maharashtra Seamless Ltd,METALS,0.71
Mahindra and Mahindra Financial Services Ltd,FINANCIAL SERVICES,-58.58
Mahindra and Mahindra Ltd,AUTOMOBILE,-43.18
Mahindra CIE Automotive Ltd,INDUSTRIAL MANUFACTURING,-58.27
Mahindra Holidays and Resorts India Ltd,SERVICES,-44.13
Mahindra Logistics Ltd,SERVICES,-51.84
Manappuram Finance Ltd,FINANCIAL SERVICES,13.73
Mangalore Refinery and Petrochemicals Ltd,OIL & GAS,-54.84
Marico Ltd,CONSUMER GOODS,-20.14
Maruti Suzuki India Ltd,AUTOMOBILE,-19.61
MAS Financial Services Ltd,FINANCIAL SERVICES,4.02
Max Financial Services Ltd,FINANCIAL SERVICES,12.49
Metropolis Healthcare Ltd,HEALTHCARE SERVICES,33.21
Minda Corporation Ltd,AUTOMOBILE,-45.89
Minda Industries Ltd,AUTOMOBILE,-17.9
MindTree Ltd,IT,-6.65
MMTC Ltd,SERVICES,-44.11
MOIL Ltd,METALS,-15.83
Motherson Sumi Systems Ltd,AUTOMOBILE,-40.24
Motilal Oswal Financial Services Ltd,FINANCIAL SERVICES,-28.8
MphasiS Ltd,IT,-24.83
MRF Ltd,AUTOMOBILE,14.38
Multi Commodity Exchange of India Ltd,FINANCIAL SERVICES,24.28
Muthoot Finance Ltd,FINANCIAL SERVICES,44.51
Narayana Hrudayalaya Ltd,HEALTHCARE SERVICES,38.14
NATCO Pharma Ltd,PHARMA,11.99
National Aluminium Co Ltd,METALS,-38.61
Nava Bharat Ventures Ltd,POWER,-62.9
Navin Fluorine International Ltd,CHEMICALS,134.6
NBCC (India) Ltd,CONSTRUCTION,-65.83
NCC Ltd,CONSTRUCTION,-73.79
NESCO Ltd,SERVICES,-9.2
Nestle India Ltd,CONSUMER GOODS,64.37
Network18 Media and Investments Ltd,MEDIA & ENTERTAINMENT,-32.08
NHPC Ltd,POWER,-10.92
NIIT Technologies Ltd,IT,-6.96
Nilkamal Ltd,INDUSTRIAL MANUFACTURING,-18.66
Nippon Life India Asset Management Ltd,FINANCIAL SERVICES,24.68
NLC India Ltd,POWER,-31.02
NMDC Ltd,METALS,-19.81
NTPC Ltd,POWER,-29.09
Oberoi Realty Ltd,CONSTRUCTION,-32.09
Oil and Natural Gas Corporation Ltd,OIL & GAS,-52.78
Oil India Ltd,OIL & GAS,-45.37
Omaxe Ltd,CONSTRUCTION,-26.8
Oracle Financial Services Software Ltd,IT,-33.32
Orient Cement Ltd,CEMENT & CEMENT PRODUCTS,-61.7
Orient Electric Ltd,CONSUMER GOODS,20.75
Orient Refractories Ltd,INDUSTRIAL MANUFACTURING,-38.31
Page Industries Ltd,TEXTILES & PAPER,-21.21
Persistent Systems Ltd,IT,-25.42
Petronet LNG Ltd,OIL & GAS,0.77
Pfizer Ltd,PHARMA,55.97
Phillips Carbon Black Ltd,CHEMICALS,-49.09
Phoenix Mills Ltd,CONSTRUCTION,-9.7
PI Industries Ltd,FERTILISERS & PESTICIDES,52.23
Pidilite Industries Ltd,CHEMICALS,23.69
Piramal Enterprises Ltd,FINANCIAL SERVICES,-58.14
PNB Housing Finance Ltd,FINANCIAL SERVICES,-72.06
PNC Infratech Ltd,CONSTRUCTION,-15.49
Polycab India Ltd,INDUSTRIAL MANUFACTURING,13.2
Power Finance Corporation Ltd,FINANCIAL SERVICES,-17.47
Power Grid Corporation of India Ltd,POWER,-13.06
Praj Industries Ltd,INDUSTRIAL MANUFACTURING,-55.14
Prestige Estates Projects Ltd,CONSTRUCTION,-33.42
Prism Johnson Ltd,CEMENT & CEMENT PRODUCTS,-59.35
Procter and Gamble Health Ltd,PHARMA,3.46
PTC India Ltd,POWER,-42.48
Punjab National Bank,FINANCIAL SERVICES,-61.96
PVR Ltd,MEDIA & ENTERTAINMENT,-42.76
Quess Corp Ltd,SERVICES,-70.36
Radico Khaitan Ltd,CONSUMER GOODS,-16.89
Rail Vikas Nigam Ltd,CONSTRUCTION,-22.68
Rain Industries Ltd,CHEMICALS,-38.34
Rajesh Exports Ltd,CONSUMER GOODS,-8.27
Rallis India Ltd,FERTILISERS & PESTICIDES,44.49
Rashtriya Chemicals and Fertilizers Ltd,FERTILISERS & PESTICIDES,-30.94
Ratnamani Metals and Tubes Ltd,METALS,2.22
Raymond Ltd,TEXTILES & PAPER,-68.74
RBL Bank Ltd,FINANCIAL SERVICES,-80.53
REC Ltd,FINANCIAL SERVICES,-35.24
Redington (India) Ltd,SERVICES,-27.03
Relaxo Footwears Ltd,CONSUMER GOODS,44.38
Reliance Industries Ltd,OIL & GAS,5.26
Repco Home Finance Ltd,FINANCIAL SERVICES,-69.37
RITES Ltd,SERVICES,17.46
S H Kelkar and Company Ltd,CONSUMER GOODS,-56.38
Sadbhav Engineering Ltd,CONSTRUCTION,-80.26
Sanofi India Ltd,PHARMA,38.62
SBI Life Insurance Company Ltd,FINANCIAL SERVICES,13.6
Schaeffler India Ltd,INDUSTRIAL MANUFACTURING,-36.12
Security and Intelligence Services (India) Ltd,SERVICES,1.65
Sheela Foam Ltd,CONSUMER GOODS,8.76
Shoppers Stop Ltd,CONSUMER GOODS,-59.61
Shree Cement Ltd,CEMENT & CEMENT PRODUCTS,-0.11
Shree Renuka Sugars Ltd,CONSUMER GOODS,-50.23
Shriram City Union Finance Ltd,FINANCIAL SERVICES,-55.65
Shriram Transport Finance Co Ltd,FINANCIAL SERVICES,-29.7
Siemens Ltd,INDUSTRIAL MANUFACTURING,-2.81
SJVN Ltd,POWER,-12.06
SKF India Ltd,INDUSTRIAL MANUFACTURING,-24.87
Sobha Ltd,CONSTRUCTION,-58.23
Solar Industries India Ltd,CHEMICALS,-17.65
Sonata Software Ltd,IT,-36.08
South Indian Bank Ltd,FINANCIAL SERVICES,-62.06
SRF Ltd,INDUSTRIAL MANUFACTURING,44.83
Star Cement Ltd,CEMENT & CEMENT PRODUCTS,-24.77
State Bank of India,FINANCIAL SERVICES,-38.54
Steel Authority of India Ltd,METALS,-42.92
Sterlite Technologies Ltd,TELECOM,-53.09
Strides Pharma Science Ltd,PHARMA,-7.75
Sudarshan Chemical Industries Ltd,CHEMICALS,22.59
Sun Pharma Advanced Research Company Ltd,PHARMA,-21.73
Sun Pharmaceutical Industries Ltd,PHARMA,1.49
Sun TV Network Ltd,MEDIA & ENTERTAINMENT,-33.11
Sundaram Finance Ltd,FINANCIAL SERVICES,-12.61
Sundram Fasteners Ltd,AUTOMOBILE,-39.8
Sunteck Realty Ltd,CONSTRUCTION,-57.17
Suprajit Engineering Ltd,AUTOMOBILE,-47.3
Supreme Industries Ltd,INDUSTRIAL MANUFACTURING,-4.23
Suzlon Energy Ltd,INDUSTRIAL MANUFACTURING,-62.04
Swan Energy Ltd,CONSTRUCTION,-7.87
Symphony Ltd,CONSUMER GOODS,-32.56
Syngene International Ltd,PHARMA,4.97
Take Solutions Ltd,PHARMA,-60.56
Tata Consultancy Services Ltd,IT,-10.88
Tata Consumer Products Ltd,CONSUMER GOODS,68.07
Tata Elxsi Ltd,IT,-13.71
Tata Investment Corporation Ltd,FINANCIAL SERVICES,-13.12
Tata Motors Ltd DVR,AUTOMOBILE,-61.14
Tata Motors Ltd,AUTOMOBILE,-56.49
Tata Power Co Ltd,POWER,-53.24
Tata Steel BSL Ltd,METALS,-68.34
Tata Steel Ltd,METALS,-46.46
TCI Express Ltd,SERVICES,4.97
TCNS Clothing Co Ltd,TEXTILES & PAPER,-52.08
Teamlease Services Ltd,SERVICES,-46.11
Tech Mahindra Ltd,IT,-34.67
Techno Electric and Engineering Company Ltd,CONSTRUCTION,-14.18
The New India Assurance Company Ltd,FINANCIAL SERVICES,-33.47
The Ramco Cements Ltd,CEMENT & CEMENT PRODUCTS,-28.63
Thermax Ltd,INDUSTRIAL MANUFACTURING,-25.61
Thyrocare Technologies Ltd,HEALTHCARE SERVICES,3.42
Time Technoplast Ltd,INDUSTRIAL MANUFACTURING,-62.29
Timken India Ltd,INDUSTRIAL MANUFACTURING,63.88
Titan Company Ltd,CONSUMER GOODS,-16.27
