Name,Company,Industry,Date,Open,High,Low,Close,Adj Close,Volume
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,30-05-19,2613,2659.899902,2593.350098,2652.399902,2632.218994,727619
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,31-05-19,2659.5,2688,2626.399902,2678.350098,2657.97168,939491
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,03-06-19,2679.800049,2739,2652.399902,2724.100098,2703.373535,558848
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,04-06-19,2750,2798.449951,2400,2665.350098,2645.070557,2438393
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-06-19,2701.550049,2709.899902,2644,2657.300049,2637.081787,608496
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,07-06-19,2650,2656.149902,2555.25,2580.699951,2561.064453,782434
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,10-06-19,2608.100098,2637.800049,2569.649902,2629.25,2609.245117,622985
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,11-06-19,2635.949951,2635.949951,2593.5,2605.850098,2586.023193,521153
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,12-06-19,2612,2628.800049,2572.5,2589.699951,2569.996094,528873
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-06-19,2591,2602.600098,2557.399902,2588.25,2568.557129,368693
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,14-06-19,2582,2582,2529,2565.149902,2545.632813,689207
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-06-19,2567,2580.449951,2538.600098,2554.149902,2534.716309,526924
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,18-06-19,2555,2600,2542.050049,2591.25,2571.53418,665057
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,19-06-19,2584,2590.850098,2537.5,2550.850098,2531.44165,845595
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-06-19,2550,2577.25,2518,2564.800049,2545.285645,568148
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,21-06-19,2560,2575,2523.550049,2551.550049,2532.13623,579138
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,24-06-19,2524,2532,2504.649902,2513.399902,2494.276367,452261
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,25-06-19,2502.100098,2552.449951,2488.050049,2536.050049,2516.754395,437218
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,26-06-19,2534.949951,2587.449951,2512.699951,2578.949951,2559.327881,501267
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-06-19,2578.899902,2578.899902,2543.899902,2565.600098,2546.07959,465861
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,28-06-19,2590,2615,2536.800049,2550.449951,2531.044678,859777
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,01-07-19,2567.100098,2675,2567.100098,2654.850098,2634.650391,1118522
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,02-07-19,2657,2661.949951,2615.600098,2627.649902,2607.657227,666682
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,03-07-19,2636.949951,2636.949951,2580,2596.699951,2576.942627,626598
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,04-07-19,2601.100098,2620,2593.050049,2602.399902,2582.599365,368100
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,05-07-19,2610,2619.5,2593.550049,2600.949951,2581.1604,491715
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,08-07-19,2585.100098,2620,2559,2595.699951,2575.950439,470575
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-07-19,2592,2625,2571.300049,2598.850098,2579.076416,408296
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,10-07-19,2594,2602.899902,2572.399902,2584.649902,2564.984375,311159
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,11-07-19,2586,2662,2585.149902,2653.050049,2632.864014,780105
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,12-07-19,2648,2660.25,2585.149902,2628.600098,2608.600098,661837
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,15-07-19,2630.050049,2670.649902,2612.199951,2627.600098,2627.600098,499554
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-07-19,2622.649902,2684,2603.199951,2676.5,2676.5,592319
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-07-19,2665.600098,2687.899902,2642.449951,2666.300049,2666.300049,473536
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,18-07-19,2665.25,2679.850098,2630,2655.550049,2655.550049,434455
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,19-07-19,2659.949951,2680,2604.050049,2613.149902,2613.149902,468248
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,22-07-19,2619,2642,2600.199951,2632.5,2632.5,349052
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,23-07-19,2640,2644.649902,2580.449951,2599.350098,2599.350098,480116
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,24-07-19,2595,2611,2555,2599.050049,2599.050049,453664
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,25-07-19,2619.800049,2666,2607.25,2654.100098,2654.100098,516388
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,26-07-19,2640.050049,2714,2621.699951,2704.949951,2704.949951,537619
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,29-07-19,2709.899902,2726.800049,2621.300049,2653.949951,2653.949951,919633
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,30-07-19,2648,2693.5,2549.100098,2560,2560,2197242
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,31-07-19,2535,2590,2533,2574.600098,2574.600098,834690
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,01-08-19,2573,2573,2500.050049,2533.75,2533.75,976249
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,02-08-19,2533.800049,2550,2496.25,2529.199951,2529.199951,593989
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,05-08-19,2523,2537.949951,2500.699951,2514.699951,2514.699951,337575
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-08-19,2509.850098,2584.899902,2501,2556.199951,2556.199951,603217
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,07-08-19,2550,2588.850098,2540.949951,2556.800049,2556.800049,316279
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,08-08-19,2570,2587.949951,2550.050049,2571.949951,2571.949951,255261
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-08-19,2576.75,2589.699951,2560.100098,2573.449951,2573.449951,373925
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-08-19,2578,2599.5,2541,2556.350098,2556.350098,374844
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,14-08-19,2525.050049,2537.800049,2351.199951,2511.949951,2511.949951,1609457
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-08-19,2529,2529,2465,2492.550049,2492.550049,797845
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,19-08-19,2540,2568.949951,2495,2509.100098,2509.100098,711303
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-08-19,2524.75,2564.449951,2515.5,2554.600098,2554.600098,609510
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,21-08-19,2500,2526.899902,2491,2503,2503,850994
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,22-08-19,2503,2560,2503,2545.399902,2545.399902,529785
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,23-08-19,2545.100098,2560.649902,2524,2541.25,2541.25,572710
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,26-08-19,2559.949951,2585,2542.050049,2567.199951,2567.199951,435006
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-08-19,2575,2584,2532.800049,2540.699951,2540.699951,583104
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,28-08-19,2557.5,2569,2503.449951,2512.100098,2512.100098,423228
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,29-08-19,2515,2535,2493.949951,2527.800049,2527.800049,504970
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,30-08-19,2530.199951,2568,2513,2557.5,2557.5,575277
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,03-09-19,2558.350098,2567,2522.800049,2532.800049,2532.800049,385453
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,04-09-19,2539.899902,2611.550049,2532.899902,2602.699951,2602.699951,819257
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,05-09-19,2636.75,2694.800049,2636.75,2682.449951,2682.449951,897710
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-09-19,2684.100098,2746.949951,2675.050049,2739.949951,2739.949951,791834
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-09-19,2729.100098,2764.649902,2729.100098,2749.199951,2749.199951,639935
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,11-09-19,2752,2778.399902,2741,2761,2761,634349
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,12-09-19,2766,2788,2747.100098,2767.050049,2767.050049,469462
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-09-19,2781.649902,2794.949951,2692.75,2731.550049,2731.550049,1189800
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-09-19,2731,2762.600098,2703.100098,2725.300049,2725.300049,818425
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-09-19,2735,2762.399902,2730.600098,2738.050049,2738.050049,468543
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,18-09-19,2739.800049,2761.949951,2715.149902,2743.649902,2743.649902,364302
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,19-09-19,2740.100098,2748.199951,2708.649902,2732.550049,2732.550049,463919
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-09-19,2738,2862,2711.050049,2837.800049,2837.800049,766105
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,23-09-19,2840,2840,2701,2767.25,2767.25,929038
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,24-09-19,2766.699951,2845,2715,2785.25,2785.25,679650
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,25-09-19,2750.149902,2784,2750.149902,2773.350098,2773.350098,491430
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,26-09-19,2790,2795.899902,2742.949951,2774.850098,2774.850098,504812
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-09-19,2782,2786,2720.5,2730.800049,2730.800049,468966
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,30-09-19,2734,2742.550049,2690.399902,2702.25,2702.25,549806
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,01-10-19,2690,2720,2644.899902,2689.350098,2689.350098,972020
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,03-10-19,2679.800049,2684.449951,2636,2677.149902,2677.149902,297000
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,04-10-19,2687,2699,2611.350098,2617.699951,2617.699951,444204
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,07-10-19,2630,2645,2576.25,2616.449951,2616.449951,519253
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-10-19,2624.75,2676,2600.300049,2663.399902,2663.399902,466444
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,10-10-19,2626.149902,2666.899902,2612.050049,2633.5,2633.5,288141
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,11-10-19,2645,2659,2607,2651.399902,2651.399902,546907
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,14-10-19,2652,2682.600098,2621,2651.899902,2651.899902,301437
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,15-10-19,2662,2696.899902,2654.550049,2684.649902,2684.649902,342159
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-10-19,2711,2728.399902,2687,2701.449951,2701.449951,327837
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-10-19,2711,2734,2699,2727.399902,2727.399902,305014
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,18-10-19,2720,2744.949951,2710.050049,2724.850098,2724.850098,289279
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,22-10-19,2722.25,2820.699951,2710.850098,2810.75,2810.75,699344
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,23-10-19,2806.800049,2841.949951,2755.050049,2826.699951,2826.699951,979592
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,24-10-19,2839.75,2849.949951,2770,2825.300049,2825.300049,602632
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,25-10-19,2824,2824,2779.949951,2794.949951,2794.949951,500795
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-10-19,,,,,,
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,29-10-19,2775,2820,2753.449951,2802.5,2802.5,533768
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,30-10-19,2829,2829,2741.550049,2759.899902,2759.899902,593147
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,31-10-19,2779.899902,2814.899902,2770.100098,2783.199951,2783.199951,720238
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,01-11-19,2784,2829.149902,2735.850098,2756.600098,2756.600098,3000855
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,04-11-19,2765.25,2810,2748.550049,2797.800049,2797.800049,808849
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,05-11-19,2793.800049,2849.5,2792,2815.699951,2815.699951,843662
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-11-19,2820.100098,2880,2820.100098,2862.699951,2862.699951,900469
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,07-11-19,2862,2883.199951,2829,2871.050049,2871.050049,441155
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,08-11-19,2860,2860,2812.300049,2822.100098,2822.100098,318986
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,11-11-19,2812.350098,2827.350098,2795,2815.75,2815.75,306664
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-11-19,2820,2823.850098,2755,2763.149902,2763.149902,456683
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,14-11-19,2775,2777.350098,2724.949951,2734.050049,2734.050049,648568
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,15-11-19,2748,2748,2712.300049,2730.800049,2730.800049,378845
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,18-11-19,2733,2759,2732,2737,2737,422773
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,19-11-19,2741,2760.449951,2724.5,2743,2743,476925
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-11-19,2746.350098,2863.949951,2745,2838.649902,2838.649902,997976
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,21-11-19,2828,2890,2810.199951,2879.25,2879.25,958939
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,22-11-19,2855,2904.75,2843,2871.25,2871.25,549551
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,25-11-19,2860,2936,2850.050049,2920.649902,2920.649902,468795
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,26-11-19,2920.25,2975,2907.149902,2965.850098,2965.850098,1056168
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-11-19,2960,2991.949951,2942.300049,2972,2972,558515
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,28-11-19,2968.100098,2982.600098,2943.050049,2976.75,2976.75,256436
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,29-11-19,2974.699951,2974.699951,2895.300049,2913.850098,2913.850098,560413
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,02-12-19,2918,2918,2852,2871.699951,2871.699951,598055
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,03-12-19,2879,2887.350098,2851.649902,2858.350098,2858.350098,381336
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,04-12-19,2860,2885.899902,2858.199951,2877.850098,2877.850098,476162
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,05-12-19,2879.800049,2880,2849.100098,2871.600098,2871.600098,433761
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-12-19,2887.699951,2949,2871.649902,2890.800049,2890.800049,988519
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-12-19,2899,2942,2891.899902,2908.75,2908.75,529357
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,10-12-19,2908.75,2908.75,2877.5,2897.5,2897.5,348517
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,11-12-19,2900,2915.800049,2875,2887.800049,2887.800049,406528
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,12-12-19,2900,2918.800049,2890,2905.649902,2905.649902,403810
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-12-19,2865.100098,2865.649902,2773,2821.5,2821.5,1368418
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-12-19,2835,2849.949951,2796.399902,2816.350098,2816.350098,460389
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-12-19,2828,2845,2811,2826.899902,2826.899902,367110
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,18-12-19,2840,2876.25,2827,2873.449951,2873.449951,531232
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,19-12-19,2874,2892.350098,2841.050049,2869.550049,2869.550049,398275
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-12-19,2865.300049,2881.25,2855.75,2863.350098,2863.350098,351321
