Security,Industry,Change_Since Lockdown
RAIN,CHEMICALS,-2%
RAJESHEXPO,CONSUMER GOODS,14%
RALLIS,FERTILISERS & PESTICIDES,1%
RAMCOCEM,INFRASTRUCTURE,5%
RATNAMANI,METALS,1%
RAYMOND,INDUSTRIAL MANUFACTURING,-11%
RBLBANK,FINANCIAL SERVICES,6%
RCF,FERTILISERS & PESTICIDES,1%
RECLTD,FINANCIAL SERVICES,5%
REDINGTON,SERVICES,-5%
RELAXO,CONSUMER GOODS,5%
RELCAPITAL,FINANCIAL SERVICES,79%
RELIANCE,ENERGY,25%
RELINFRA,INFRASTRUCTURE,21%
RENUKA,CONSUMER GOODS,-3%
REPCOHOME,FINANCIAL SERVICES,12%
RESPONIND,INFRASTRUCTURE,1%
RITES,INDUSTRIAL MANUFACTURING,-10%
RPOWER,ENERGY,39%
RVNL,INFRASTRUCTURE,-3%
SADBHAV,INFRASTRUCTURE,62%
SAIL,METALS,19%
SANOFI,HEALTHCARE,-2%
SBILIFE,FINANCIAL SERVICES,6%
SBIN,FINANCIAL SERVICES,1%
SCHAEFFLER,INDUSTRIAL MANUFACTURING,-1%
SFL,CONSUMER GOODS,18%
SHILPAMED,HEALTHCARE,1%
SHK,CHEMICALS,-15%
SHOPERSTOP,CONSUMER GOODS,-6%
SHREECEM,INFRASTRUCTURE,4%
SHRIRAMCIT,FINANCIAL SERVICES,2%
SIEMENS,INDUSTRIAL MANUFACTURING,-6%
SIS,SERVICES,7%
SJVN,ENERGY,-4%
SKFINDIA,INDUSTRIAL MANUFACTURING,5%
SOBHA,INFRASTRUCTURE,-1%
SOLARINDS,CHEMICALS,1%
SONATSOFTW,IT & TELECOM,20%
SOUTHBANK,FINANCIAL SERVICES,0%
SPANDANA,FINANCIAL SERVICES,-15%
SPARC,HEALTHCARE,-5%
SPICEJET,SERVICES,-4%
SRF,SERVICES,9%
SRTRANSFIN,FINANCIAL SERVICES,15%
STAR,HEALTHCARE,28%
STARCEMENT,INFRASTRUCTURE,9%
STRTECH,IT & TELECOM,8%
SUDARSCHEM,CHEMICALS,0%
SUNCLAYLTD,AUTOMOBILE,1%
SUNDARMFIN,FINANCIAL SERVICES,0%
SUNDRMFAST,AUTOMOBILE,9%
SUNPHARMA,HEALTHCARE,0%
SUNTECK,INFRASTRUCTURE,0%
SUNTV,MEDIA & ENTERTAINMENT,6%
SUPRAJIT,AUTOMOBILE,2%
SUPREMEIND,INDUSTRIAL MANUFACTURING,14%
SUZLON,INDUSTRIAL MANUFACTURING,-4%
SWANENERGY,INFRASTRUCTURE,0%
SYMPHONY,CONSUMER GOODS,-4%
SYNGENE,HEALTHCARE,15%
TAKE,HEALTHCARE,-4%
TASTYBITE,CONSUMER GOODS,6%
TATAELXSI,IT & TELECOM,12%
TATAGLOBAL,CONSUMER GOODS,-1%
TATAINVEST,FINANCIAL SERVICES,5%
TATAMOTORS,AUTOMOBILE,25%
TATAMTRDVR,AUTOMOBILE,9%
TATAPOWER,ENERGY,-9%
TATASTEEL,METALS,3%
